num_threads,length,parallel_scan_time
1,1000000,0.192563
2,1000000,2.69532
3,1000000,2.53887
4,1000000,3.07686
5,1000000,3.19904
6,1000000,3.34224
7,1000000,3.49167
8,1000000,4.05955
9,1000000,3.9534
10,1000000,4.13981
11,1000000,4.34339
12,1000000,4.25912
13,1000000,4.67118
14,1000000,4.75589
15,1000000,4.56909
16,1000000,4.71312
17,1000000,4.93007
18,1000000,5.09547
19,1000000,5.13852
20,1000000,5.30176
21,1000000,5.34487
22,1000000,5.41138
23,1000000,6.01454
24,1000000,5.54381
25,1000000,5.77006
26,1000000,5.96629
27,1000000,5.97138
28,1000000,6.12911
29,1000000,6.11696
30,1000000,6.58511
31,1000000,6.49145
32,1000000,6.49981
33,1000000,6.51367
34,1000000,6.74682
35,1000000,7.005
36,1000000,6.92438
37,1000000,7.12563
38,1000000,7.16752
39,1000000,7.42347
40,1000000,7.96142
41,1000000,7.57233
42,1000000,7.57979
43,1000000,7.5285
44,1000000,8.08673
