num_threads,length,bc,parallel_scan_time,scan_time
1,200000000,1000000,3.24957,2.01454
2,200000000,500000,1.63229,2.03119
3,200000000,333333,1.26395,2.02431
4,200000000,250000,1.13031,2.27722
5,200000000,200000,0.890526,2.71638
6,200000000,166666,0.718378,1.70053
7,200000000,142857,0.613334,2.25514
8,200000000,125000,0.580718,1.70176
9,200000000,111111,0.513456,2.25893
10,200000000,100000,0.475128,1.69312
11,200000000,90909,0.462273,1.70492
12,200000000,83333,0.410044,1.69967
13,200000000,76923,0.361012,2.34899
14,200000000,71428,0.356305,2.2549
15,200000000,66666,0.363015,1.70698
16,200000000,62500,0.318086,1.69405
17,200000000,58823,0.309049,2.26535
18,200000000,55555,0.280293,2.25749
19,200000000,52631,0.272717,1.69328
20,200000000,50000,0.256543,1.70854
21,200000000,47619,0.255239,1.6903
22,200000000,45454,0.249327,1.69549
23,200000000,43478,0.243177,1.69711
24,200000000,41666,0.228125,2.25961
25,200000000,40000,0.225949,1.70303
26,200000000,38461,0.19761,2.26704
27,200000000,37037,0.210908,1.69732
28,200000000,35714,0.202638,1.69299
29,200000000,34482,0.195444,1.69384
30,200000000,33333,0.19292,1.70233
31,200000000,32258,0.178101,1.71446
32,200000000,31250,0.190041,1.69213
33,200000000,30303,0.174313,1.7015
34,200000000,29411,0.176787,1.69362
35,200000000,28571,0.172169,1.7095
36,200000000,27777,0.173151,1.73768
37,200000000,27027,0.159201,2.25922
38,200000000,26315,0.16172,1.76188
39,200000000,25641,0.162289,1.71136
40,200000000,25000,0.162588,1.698
41,200000000,24390,0.165385,1.73288
42,200000000,23809,0.160243,1.69883
43,200000000,23255,0.150172,2.27041
44,200000000,22727,0.158063,1.70395
